[2021-01-11 06:56:03] defaultLogger.INFO: Next upgrade step for 4.2.0 is : 4.2.3 [] {"url":"/churchcrm-4.2/v2/dashboard","remote_ip":"::1","correlation_id":"5ffbe8734e7ab"}
[2021-01-11 06:56:08] defaultLogger.INFO: Starting background job processing [] {"url":"/churchcrm-4.2/api/background/timerjobs","remote_ip":"::1","correlation_id":"5ffbe878c3671"}
[2021-01-11 06:56:08] defaultLogger.INFO: Not starting application integrity check.  Last application integrity check run: 20210107-120919 [] {"url":"/churchcrm-4.2/api/background/timerjobs","remote_ip":"::1","correlation_id":"5ffbe878c3671"}
[2021-01-11 06:56:12] defaultLogger.INFO: Finished background job processing [] {"url":"/churchcrm-4.2/api/background/timerjobs","remote_ip":"::1","correlation_id":"5ffbe878c3671"}
[2021-01-11 06:56:29] defaultLogger.INFO: Next upgrade step for 4.2.0 is : 4.2.3 [] {"url":"/churchcrm-4.2/PropertyTypeList.php","remote_ip":"::1","correlation_id":"5ffbe88d54fcc"}
[2021-01-11 06:56:30] defaultLogger.INFO: Starting background job processing [] {"url":"/churchcrm-4.2/api/background/timerjobs","remote_ip":"::1","correlation_id":"5ffbe88e6f750"}
[2021-01-11 06:56:30] defaultLogger.INFO: Not starting application integrity check.  Last application integrity check run: 20210107-120919 [] {"url":"/churchcrm-4.2/api/background/timerjobs","remote_ip":"::1","correlation_id":"5ffbe88e6f750"}
[2021-01-11 06:56:31] defaultLogger.INFO: Finished background job processing [] {"url":"/churchcrm-4.2/api/background/timerjobs","remote_ip":"::1","correlation_id":"5ffbe88e6f750"}
[2021-01-11 06:56:38] defaultLogger.INFO: Next upgrade step for 4.2.0 is : 4.2.3 [] {"url":"/churchcrm-4.2/UserList.php","remote_ip":"::1","correlation_id":"5ffbe8961dae4"}
[2021-01-11 06:56:38] defaultLogger.INFO: Starting background job processing [] {"url":"/churchcrm-4.2/api/background/timerjobs","remote_ip":"::1","correlation_id":"5ffbe896e5760"}
[2021-01-11 06:56:38] defaultLogger.INFO: Not starting application integrity check.  Last application integrity check run: 20210107-120919 [] {"url":"/churchcrm-4.2/api/background/timerjobs","remote_ip":"::1","correlation_id":"5ffbe896e5760"}
[2021-01-11 06:56:39] defaultLogger.INFO: Finished background job processing [] {"url":"/churchcrm-4.2/api/background/timerjobs","remote_ip":"::1","correlation_id":"5ffbe896e5760"}
[2021-01-11 06:56:45] defaultLogger.INFO: Next upgrade step for 4.2.0 is : 4.2.3 [] {"url":"/churchcrm-4.2/SystemSettings.php","remote_ip":"::1","correlation_id":"5ffbe89d225ba"}
[2021-01-11 06:56:47] defaultLogger.INFO: Starting background job processing [] {"url":"/churchcrm-4.2/api/background/timerjobs","remote_ip":"::1","correlation_id":"5ffbe89f934f2"}
[2021-01-11 06:56:47] defaultLogger.INFO: Not starting application integrity check.  Last application integrity check run: 20210107-120919 [] {"url":"/churchcrm-4.2/api/background/timerjobs","remote_ip":"::1","correlation_id":"5ffbe89f934f2"}
